10, 5, 0
10, 6, 0
10, 7, 0
9, 8, 1
8, 9, 1
7, 9, 1
7, 10, 1
6, 10, 1
5, 10, 1
5, 10, 2
4, 10, 2
3, 10, 2
2, 9, 2
1, 8, 2
1, 7, 3
0, 7, 3
0, 6, 3
0, 5, 3
0, 4, 3
0, 3, 3
1, 2, 4
2, 1, 4
3, 1, 4
3, 0, 4
4, 0, 4
5, 0, 4
5, 0, 5
6, 0, 5
7, 0, 5
8, 1, 5
9, 2, 5
9, 3, 6
10, 3, 6
10, 4, 6
10, 5, 6
10, 6, 6
10, 7, 6
9, 8, 7
8, 9, 7
7, 9, 7
7, 10, 7
6, 10, 7
5, 10, 7
5, 10, 8
4, 10, 8
3, 10, 8
2, 9, 8
1, 8, 8
1, 7, 9
0, 7, 9
0, 6, 9
0, 5, 9
0, 4, 9
0, 3, 9
1, 3, 9
1, 2, 10
2, 1, 10
3, 1, 10
3, 0, 10
4, 0, 10
5, 0, 10
5, 0, 11
6, 0, 11
7, 0, 11
7, 1, 11
8, 1, 11
9, 2, 11
9, 3, 12
10, 3, 12
10, 4, 12
10, 5, 12
10, 6, 12
10, 7, 12
9, 7, 12
9, 8, 13
9, 9, 13
8, 9, 13
7, 9, 13
7, 10, 13
6, 10, 13
5, 10, 13
5, 10, 14
4, 10, 14
3, 10, 14
3, 9, 14
2, 9, 14
1, 9, 14
1, 8, 14
1, 7, 15
0, 7, 15
0, 6, 15
0, 5, 15
0, 4, 15
0, 3, 15
1, 3, 15
1, 2, 16
1, 1, 16
2, 1, 16
3, 1, 16
3, 0, 16
4, 0, 16
5, 0, 16
5, 0, 17
6, 0, 17
7, 0, 17
7, 1, 17
8, 1, 17
9, 1, 17
9, 2, 17
9, 3, 18
10, 3, 18
10, 4, 18
10, 5, 18
10, 6, 18
10, 7, 18
9, 7, 18
9, 8, 19
8, 9, 19
7, 9, 19
7, 10, 19
6, 10, 19
5, 10, 19
5, 10, 20
4, 10, 20
3, 10, 20
3, 9, 20
2, 9, 20
1, 8, 20
1, 7, 21
0, 7, 21
0, 6, 21
0, 5, 21
0, 4, 21
0, 3, 21
1, 3, 21
1, 2, 22
2, 1, 22
3, 0, 22
4, 0, 22
5, 0, 22
5, 0, 23
6, 0, 23
7, 0, 23
7, 1, 23
8, 1, 23
9, 2, 23
10, 3, 24
10, 4, 24
10, 5, 24
10, 6, 24
10, 7, 24
9, 7, 24
9, 8, 25
8, 9, 25
7, 10, 25
6, 10, 25
5, 10, 25
5, 10, 26
4, 10, 26
3, 10, 26
3, 9, 26
2, 9, 26
1, 8, 26
0, 7, 27
0, 6, 27
0, 5, 27
0, 4, 27
0, 3, 27
1, 3, 27
1, 2, 28
2, 1, 28
3, 0, 28
4, 0, 28
5, 0, 28
5, 0, 29
6, 0, 29
7, 0, 29
7, 1, 29
8, 1, 29
9, 2, 29
10, 3, 30
10, 4, 30
10, 5, 30
